Date,Title,URL,Body ,Location,Likes,Comment,Username
7/4/2023,Kasus penistaan agama yang dituduhkan kepada pengasuh ...,https://www.tiktok.com/@tempo.co/video/7251834504808041730,"95 Likes, TikTok video from Tempodotco (@tempo.co): ""Kasus penistaan agama yang dituduhkan kepada pengasuh Pondok Pesantren Al Zaytun",Indramayu,95,0,@tempo.co
7/1/2023,Belum selesai dengan sederet kontroversi Pondok Pesantren ...,https://www.tiktok.com/@tribunpekanbaru/video/7250869827278015746,"TikTok video from Tribun Pekanbaru (@tribunpekanbaru): ""Belum selesai dengan sederet kontroversi Pondok Pesantren (Ponpes) Al Zaytun",Pekanbaru,18,0,@tribunpekanbaru
7/7/2023,pondok pesantren smp vip kemiri - TikTok,https://www.tiktok.com/discover/pondok-pesantren-smp-vip-kemiri,"90 Likes, TikTok video from smpvipkemiri (@smpvipkemiri): ""dunia akhirat dapatt InsyaAllah???? #fyp? #fyp #foryoupage #imtihan #tahfidz #viral ...",Purworjo,90,0,@smpvipkemiri
7/23/2023,"Pimpinan Pondok Pesantren (Ponpes) Al Zaytun, Panji ...",https://www.tiktok.com/@kompastvnews/video/7258850229217283330,"50 Likes, TikTok video from Kompas TV (@kompastvnews): ""Pimpinan Pondok Pesantren (Ponpes) Al Zaytun, Panji Gumilang mencabut gugatan",Jakarta,50,0,@kompastvnews
7/22/2023,"Lewat kuasa hukumnya Hendra Efendi, pimpinan Pondok ...",https://www.tiktok.com/@kompastvnews/video/7258509378574126343,"45 Likes, TikTok video from Kompas TV (@kompastvnews): ""Lewat kuasa hukumnya Hendra Efendi, pimpinan Pondok Pesantren (Ponpes) Al Zaytun",Jakarta,45,0,@kompastvnews
7/21/2023,Peletakan Batu Pertama Pembangunan Pondok Pesantren ...,https://www.tiktok.com/@tni.tv/video/7257111048489078022,"25.6K Likes, 61 Comments. TikTok video from TNI.TV (@tni.tv): ""Peletakan Batu Pertama Pembangunan Pondok Pesantren Jati Diri Bangsa oleh Kapuspen TNI #tnitv ...",Kediri,25600,61,@tni.tv
7/20/2023,Pimpinan Pondok Pesantren Al-Zaytun Panji Gumilang ...,https://www.tiktok.com/@cnnindonesia/video/7251849515714579714,"70 Likes, TikTok video from CNN Indonesia (@cnnindonesia): ""Pimpinan Pondok Pesantren Al-Zaytun Panji Gumilang diperiksa Polisi sebagai saksi.",Jakarta,70,0,@cnnindonesia
7/4/2023,Penanganan kasus dugaan penistaan agama ... - TikTok,https://www.tiktok.com/@pikiranrakyat/video/7251805526655241473,"TikTok video from pikiranrakyat (@pikiranrakyat): ""Penanganan kasus dugaan penistaan agama pengasuh Pondok Pesantren Al Zaytun, Kabupaten",Jakarta,3,0,@pikiranrakyat
7/3/2023,Traweh neng Pondok Pesantren Mamba'ul Hikam ... - TikTok,https://www.tiktok.com/@jelajahmblitar/video/7219681643802447109,"7K Likes, 154 Comments. TikTok video from Jelajah Blitar (@jelajahmblitar): ""Traweh neng Pondok Pesantren Mamba'ul Hikam, Mantenan, Udanawu,",Blitar,7000,154,@jelajahmblitar
7/3/2023,Seblak Jewol Jl. Perjuangan Kota Cirebon (sebelah ... - TikTok,https://www.tiktok.com/@aboutcirebonid/video/7251397131183934725,Seblak Jewol Jl. Perjuangan Kota Cirebon (sebelah barat kampus IAIN Syekh Nurjati/Depan Lab Intibios ) ? Buka setiap hari jam 11.00-21.00 WIB,Cirebon,4661,282,@aboutcirebonid
