Date,Title ,URL,Body,Location,Likes,Comment,Username
7/29/2022,Milad Pondok Pesantren Sidogiri 285 #pondokpesantren ...,https://www.tiktok.com/@muhammadn0fel/video/7125642412634000666,"110 Likes, TikTok video from Muhammad Nofel ? (@muhammadn0fel): ""Milad Pondok Pesantren Sidogiri 285 ? #pondokpesantren #sidogirian",Sidogiri,110,4,@muhammadn0fel
6/11/2022,"Ketahuan pacaran, santri diarak keliling pesantren #fyp #viral ...",https://www.tiktok.com/@tribun_padang/video/7107523653440425242,"768 Likes, TikTok video from Tribunpadang Shop (@tribun_padang): ""Ketahuan pacaran, santri diarak keliling pesantren #fyp #viral",Padang ,768,16,@tribun_padang
5/2/2022,#anakpunk #pesantren #tasawufunderground #taubat #islam ...,https://www.tiktok.com/@daaitvindonesia/video/7093121216512380187,"25.4K Likes, 524 Comments. TikTok video from DAAI TV Indonesia (@daaitvindonesia): ""#anakpunk #pesantren #tasawufunderground #taubat",,25400,524,@daaitvindonesia
4/13/2022,Ketum AHY Safari Ramadhan ke Pondok Pesantren ... - TikTok,https://www.tiktok.com/@galery_ahy/video/7086347389027601690,"5.1K Likes, 840 Comments. TikTok video from Galery AHY (@galery_ahy): ""Ketum AHY Safari Ramadhan ke Pondok Pesantren (Pontren) Suryalaya d",Tasikmalaya,5100,840,@galery_ahy
4/12/2022,Liburan Ramadhan Santri dan Santriwaty Pondok ... - TikTok,https://www.tiktok.com/@pzhgenggong/video/7085877635045199131,"4.5K Likes, 37 Comments. TikTok video from pzhgenggong (@pzhgenggong): ""Liburan Ramadhan Santri dan Santriwaty Pondok Pesantren Zainul Hasan",Probolinggo,4500,37,@pzhgenggong
3/28/2022,Pondok Pesantren Lirboyo Kediri #fyp ... - TikTok,https://www.tiktok.com/@ulfah_ulilalbab/video/7080056658424073499,"219.9K Likes, 3.7K Comments. TikTok video from faa27 (@ulfah_ulilalbab): ""Pondok Pesantren Lirboyo Kediri #fyp #fypdongggggggg #santrikeren",Kediri,219900,3700,@ulfah_ulilalbab
2/4/2022,jenguk Abang Kiki ke pondok pesantren ... - TikTok,https://www.tiktok.com/@merrynando12/video/7060794912974851355,"540.1K Likes, 2.8K Comments. TikTok video from MerryN@ndo (@merrynando12): ""jenguk Abang Kiki ke pondok pesantren ??",,540100,2800,@merrynando12
11/29/2021,"kamarnya Al Maahira Homey banget, pantes pada betah",https://www.tiktok.com/@humasalmaahiraiibsmalang/video/7035895435596205339,#fyp #almaahiraiibs #almaahiraiibsmalang #almaahira #pondokpesantren #pesantren #pesantrenstory. Humas Al Maahira IIBS Malang. 37.7K ·,Malang,749900,8525,@humasalmaahiraiibsmalang
11/14/2021,Yang dari dulu pengen masuk pesantren #mdqhnwpancor ...,https://www.tiktok.com/@rumah.santri/video/7030374497291078939,"36.5K Likes, 471 Comments. TikTok video from rumah.santri (@rumah.santri): ""Yang dari dulu pengen masuk pesantren #mdqhnwpancor #fyp? #fyp ...",Lombok Timur,36500,472,@rumah.santri
9/8/2021,Pondok Pesantren Al Falah Kodon Serang ... - TikTok,https://www.tiktok.com/@putratunggal227/video/7005534624818433307,"5.5K Likes, 79 Comments. TikTok video from Aa AHMAD - BANTEN (@putratunggal227): ""Pondok Pesantren Al Falah Kodon Serang,",Banten,5500,79,@putratunggal227
9/23/2021,PP. Mambaus Sholihin Putri. Ini gedung baru untuk anak MTs ...,https://www.tiktok.com/@emakkompleksebelah/video/7011027100618607874,#dalwa #pondok pesantren#santripondok. A?. 553.4K · recommend-cover. Teman berhati Malaikat #pesantrenstory #santripondok #santriwati,Gresik,16100,730,@emakkompleksebelah
8/22/2021,Aku di pondok pesantren Asy-Syarifiy pandanwangi ... - TikTok,https://www.tiktok.com/@ypp_asysyarifiy/video/6999423984823586075,"549 Likes, 30 Comments. TikTok video from Pesantren Terbaik di Lumajang (@ypp_asysyarifiy): ""Aku di pondok pesantren Asy-Syarifiy pandanwangi",Lumajang,549,30,@ypp_asysyarifiy
5/20/2021,aku lebih menghargai orang yang ber adab dari pada ... - TikTok,https://www.tiktok.com/@live_efootball/video/6964237103945223426,"sumpah ini sama kya di pesantren aq,di pekalongan,slam santri. 2021-5-23. 9. Reply. mhmmd ikhwan. semua orng juga memilih adap kerena adap lebih",,72500,272,@pages_paradise
4/19/2021,Belanja di Basmalah milik pondok pesantren Sidogiri ... - TikTok,https://www.tiktok.com/@kingzadma/video/6953039488444599553,"8.1K Likes, 220 Comments. TikTok video from kingzadma (@kingzadma): ""Belanja di Basmalah milik pondok pesantren Sidogiri #GoodDayFreezeYuk",Sidogiri,8100,220,@kingzadma
4/6/2021,Al Ma'had Darul Ulum Jombang 2021 Asrama ... - TikTok,https://www.tiktok.com/@racunkhabiba_/video/6948300852675366146,"TikTok video from Scorpio (@racunkhabiba_): ""Al Ma'had Darul Ulum Jombang 2021 Asrama Muzamzamah Chosiyah #darululumjombang",Jombang,8,0,@racunkhabiba_
3/5/2021,Mondok Berpisah Sementara #gontor #gontor #gontorputri ...,https://www.tiktok.com/@haitsam_17/video/6936004556362943745,"... #gontorputri #gontorputra #fyp #fyp? #santri #santrigaul #pesantren #santrikeren #mondok #santriwati #fy"". tujh mein rab dikhta hai - Ovi jit .",Ponorogo,32600,476,@haitsam_17
1/19/2021,syekh Anas Jaber adalah adik dari Gurunda #syekhalijaber ...,https://www.tiktok.com/@yayasansyekhalijaber/video/6919265991201524994,".. (@yayasansyekhalijaber): ""syekh Anas Jaber adalah adik dari Gurunda #syekhalijaber saat ini beliau mengurusi pesantren #Mahirdenganalquran",Cipanas,1982,56,@yayasansyekhalijaber
9/3/2020,Tinggal menghitung hari #balikanpondok #ditinggalmondok ...,https://www.tiktok.com/@20september03/video/7092010285791333659,"57.5K Likes, TikTok video from BheKalLahAzes || 25Apr23 ? (@20september03): ""Tinggal menghitung hari #balikanpondok",,57500,9,@20september03
6/7/2020,TRIO BEMO DI KUN ANTA SEASON PERTAMA SEBUT - TikTok,https://www.tiktok.com/@rickhardkeefe3/video/6813548941875956994,"111 Likes, TikTok video from A.Rickhard Keefe (@rickhardkeefe3): ""PONDOK PESANTREN KUN ANTA: TRIO BEMO DI KUN ANTA SEASON PERTAMA",,112,2,@rickhardkeefe3
4/3/2020,Gombalan Kang Santri #santri #kyai #fyp? ... - TikTok,https://www.tiktok.com/@progresiftv/video/7157508599344844059,"... Kang Santri #santri #kyai #fyp? #foryoupage #viral #harisantri #jjsantri #xyzbca #gusali #trending #pesantren"". original sound - Progresif TV.",,832400,6247,@progresiftv
4/3/2020,Fa'alul Limaa Yurid oleh : Kh.Agoes Ali Masyhuri #fyp ... - TikTok,https://www.tiktok.com/@progresiftv/video/7191621346013629701,"801 Likes, TikTok video from Progresif TV (@progresiftv): ""Fa'alul Limaa Yurid oleh : Kh.Agoes Ali Masyhuri #fyp #santri #pesantren #foryourpage ...",,802,7,@progresiftv
11/12/2019,Tabarrukan ke PP. Assunniyyah Kencong Jember - TikTok,https://www.tiktok.com/@amriel_moestof/video/7206260937957887258,Bersama Al-Habib Umar Bin Muhdhor Al-Haddad. dalam rangka Haflah Akhirussanah Pondok Pesantren Darul 'Ulum Sekampung Lampung Timur.,Jember,94,3,@amriel_moestof
6/4/2019,"Baso mang ade, citangtu - garut #kulinergarut #jajanangarut...",https://www.tiktok.com/@jajanangarut_/video/6698582252831444226,"Baso rusuk mang ade, sebrang pesantren persis jalan terusan pembangunan simpang lima, Garut jawa barat.#CallofDragons #jajanangarut",Garut,648,4,@jajanangarut_
4/8/2019,"Baso ceu entok, sawahlega cibatu, Garut #jajanangarut ...",https://www.tiktok.com/@jajanangarut_/video/6677404805897489666,"Baso rusuk mang ade, sebrang pesantren persis jalan terusan pembangunan simpang lima, Garut jawa barat.#CallofDragons #jajanangarut",Garut,3574,26,@jajanangarut_
4/3/2018,Agar warung cepat laris versi Gus Ali #kiai #pesantren #fyp ...,https://www.tiktok.com/@progresiftv/video/7162113552965324058,"2K Likes, 30 Comments. TikTok video from Progresif TV (@progresiftv): ""Agar warung cepat laris versi Gus Ali #kiai #pesantren #fyp? #fyp #foryoupage ...",,1972,30,@progresiftv
