Date,Keyword,Total Search
8/23/2020,UIN: (Indonesia),75
8/30/2020,UIN: (Indonesia),53
9/6/2020,UIN: (Indonesia),50
9/13/2020,UIN: (Indonesia),47
9/20/2020,UIN: (Indonesia),38
9/27/2020,UIN: (Indonesia),57
10/4/2020,UIN: (Indonesia),58
10/11/2020,UIN: (Indonesia),52
10/18/2020,UIN: (Indonesia),45
10/25/2020,UIN: (Indonesia),40
11/1/2020,UIN: (Indonesia),42
11/8/2020,UIN: (Indonesia),42
11/15/2020,UIN: (Indonesia),43
11/22/2020,UIN: (Indonesia),44
11/29/2020,UIN: (Indonesia),37
12/6/2020,UIN: (Indonesia),36
12/13/2020,UIN: (Indonesia),41
12/20/2020,UIN: (Indonesia),46
12/27/2020,UIN: (Indonesia),48
1/3/2021,UIN: (Indonesia),61
1/10/2021,UIN: (Indonesia),50
1/17/2021,UIN: (Indonesia),49
1/24/2021,UIN: (Indonesia),48
1/31/2021,UIN: (Indonesia),60
2/7/2021,UIN: (Indonesia),59
2/14/2021,UIN: (Indonesia),69
2/21/2021,UIN: (Indonesia),66
2/28/2021,UIN: (Indonesia),45
3/7/2021,UIN: (Indonesia),45
3/14/2021,UIN: (Indonesia),45
3/21/2021,UIN: (Indonesia),70
3/28/2021,UIN: (Indonesia),42
4/4/2021,UIN: (Indonesia),39
4/11/2021,UIN: (Indonesia),50
4/18/2021,UIN: (Indonesia),43
4/25/2021,UIN: (Indonesia),40
5/2/2021,UIN: (Indonesia),37
5/9/2021,UIN: (Indonesia),27
5/16/2021,UIN: (Indonesia),37
5/23/2021,UIN: (Indonesia),37
5/30/2021,UIN: (Indonesia),38
6/6/2021,UIN: (Indonesia),38
6/13/2021,UIN: (Indonesia),90
6/20/2021,UIN: (Indonesia),78
6/27/2021,UIN: (Indonesia),71
7/4/2021,UIN: (Indonesia),61
7/11/2021,UIN: (Indonesia),64
7/18/2021,UIN: (Indonesia),41
7/25/2021,UIN: (Indonesia),41
8/1/2021,UIN: (Indonesia),44
8/8/2021,UIN: (Indonesia),40
8/15/2021,UIN: (Indonesia),45
8/22/2021,UIN: (Indonesia),45
8/29/2021,UIN: (Indonesia),51
9/5/2021,UIN: (Indonesia),46
9/12/2021,UIN: (Indonesia),40
9/19/2021,UIN: (Indonesia),42
9/26/2021,UIN: (Indonesia),43
10/3/2021,UIN: (Indonesia),40
10/10/2021,UIN: (Indonesia),39
10/17/2021,UIN: (Indonesia),37
10/24/2021,UIN: (Indonesia),35
10/31/2021,UIN: (Indonesia),36
11/7/2021,UIN: (Indonesia),42
11/14/2021,UIN: (Indonesia),37
11/21/2021,UIN: (Indonesia),38
11/28/2021,UIN: (Indonesia),35
12/5/2021,UIN: (Indonesia),38
12/12/2021,UIN: (Indonesia),38
12/19/2021,UIN: (Indonesia),46
12/26/2021,UIN: (Indonesia),43
1/2/2022,UIN: (Indonesia),52
1/9/2022,UIN: (Indonesia),58
1/16/2022,UIN: (Indonesia),48
1/23/2022,UIN: (Indonesia),52
1/30/2022,UIN: (Indonesia),46
2/6/2022,UIN: (Indonesia),44
2/13/2022,UIN: (Indonesia),53
2/20/2022,UIN: (Indonesia),52
2/27/2022,UIN: (Indonesia),50
3/6/2022,UIN: (Indonesia),47
3/13/2022,UIN: (Indonesia),40
3/20/2022,UIN: (Indonesia),43
3/27/2022,UIN: (Indonesia),60
4/3/2022,UIN: (Indonesia),43
4/10/2022,UIN: (Indonesia),50
4/17/2022,UIN: (Indonesia),46
4/24/2022,UIN: (Indonesia),33
5/1/2022,UIN: (Indonesia),19
5/8/2022,UIN: (Indonesia),39
5/15/2022,UIN: (Indonesia),43
5/22/2022,UIN: (Indonesia),46
5/29/2022,UIN: (Indonesia),48
6/5/2022,UIN: (Indonesia),50
6/12/2022,UIN: (Indonesia),54
6/19/2022,UIN: (Indonesia),78
6/26/2022,UIN: (Indonesia),97
7/3/2022,UIN: (Indonesia),76
7/10/2022,UIN: (Indonesia),62
7/17/2022,UIN: (Indonesia),69
7/24/2022,UIN: (Indonesia),65
7/31/2022,UIN: (Indonesia),61
8/7/2022,UIN: (Indonesia),50
8/14/2022,UIN: (Indonesia),63
8/21/2022,UIN: (Indonesia),58
8/28/2022,UIN: (Indonesia),61
9/4/2022,UIN: (Indonesia),54
9/11/2022,UIN: (Indonesia),51
9/18/2022,UIN: (Indonesia),45
9/25/2022,UIN: (Indonesia),37
10/2/2022,UIN: (Indonesia),37
10/9/2022,UIN: (Indonesia),37
10/16/2022,UIN: (Indonesia),37
10/23/2022,UIN: (Indonesia),35
10/30/2022,UIN: (Indonesia),33
11/6/2022,UIN: (Indonesia),30
11/13/2022,UIN: (Indonesia),36
11/20/2022,UIN: (Indonesia),34
11/27/2022,UIN: (Indonesia),32
12/4/2022,UIN: (Indonesia),37
12/11/2022,UIN: (Indonesia),43
12/18/2022,UIN: (Indonesia),49
12/25/2022,UIN: (Indonesia),63
1/1/2023,UIN: (Indonesia),61
1/8/2023,UIN: (Indonesia),60
1/15/2023,UIN: (Indonesia),67
1/22/2023,UIN: (Indonesia),55
1/29/2023,UIN: (Indonesia),59
2/5/2023,UIN: (Indonesia),63
2/12/2023,UIN: (Indonesia),60
2/19/2023,UIN: (Indonesia),58
2/26/2023,UIN: (Indonesia),58
3/5/2023,UIN: (Indonesia),44
3/12/2023,UIN: (Indonesia),39
3/19/2023,UIN: (Indonesia),33
3/26/2023,UIN: (Indonesia),53
4/2/2023,UIN: (Indonesia),59
4/9/2023,UIN: (Indonesia),45
4/16/2023,UIN: (Indonesia),28
4/23/2023,UIN: (Indonesia),25
4/30/2023,UIN: (Indonesia),37
5/7/2023,UIN: (Indonesia),48
5/14/2023,UIN: (Indonesia),44
5/21/2023,UIN: (Indonesia),47
5/28/2023,UIN: (Indonesia),42
6/4/2023,UIN: (Indonesia),52
6/11/2023,UIN: (Indonesia),57
6/18/2023,UIN: (Indonesia),100
6/25/2023,UIN: (Indonesia),74
7/2/2023,UIN: (Indonesia),80
7/9/2023,UIN: (Indonesia),75
7/16/2023,UIN: (Indonesia),65
7/23/2023,UIN: (Indonesia),61
7/30/2023,UIN: (Indonesia),60
