Date,Query,Total Postingan,Site
2018-12,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",255,Instagram
2019-01,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",249,Instagram
2019-02,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",104,Instagram
2019-03,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",214,Instagram
2019-04,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",275,Instagram
2019-05,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",110,Instagram
2019-06,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",8,Instagram
2019-07,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",65,Instagram
2019-08,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",77,Instagram
2019-09,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",5,Instagram
2019-10,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",64,Instagram
2019-11,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",152,Instagram
2019-12,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",122,Instagram
2020-01,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",931,Instagram
2020-02,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",1800,Instagram
2020-03,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",1350,Instagram
2020-04,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",626,Instagram
2020-05,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",104,Instagram
2020-06,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",238,Instagram
2020-07,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",322,Instagram
2020-08,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",537,Instagram
2020-09,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",140,Instagram
2020-10,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",439,Instagram
2020-11,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",211,Instagram
2020-12,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",261,Instagram
2021-01,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",222,Instagram
2021-02,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",594,Instagram
2021-03,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",350,Instagram
2021-04,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",173,Instagram
2021-05,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",255,Instagram
2021-06,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",303,Instagram
2021-07,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",177,Instagram
2021-08,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",110,Instagram
2021-09,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",123,Instagram
2021-10,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",109,Instagram
2021-11,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",101,Instagram
2021-12,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",129,Instagram
2022-01,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",97,Instagram
2022-02,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",239,Instagram
2022-03,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",53,Instagram
2022-04,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",111,Instagram
2022-05,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",160,Instagram
2022-06,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",135,Instagram
2022-07,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",75,Instagram
2022-08,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",367,Instagram
2022-09,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",174,Instagram
2022-10,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",107,Instagram
2022-11,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",60,Instagram
2022-12,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",10,Instagram
2023-01,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",81,Instagram
2023-02,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",175,Instagram
2023-03,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",174,Instagram
2023-04,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",342,Instagram
2023-05,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",418,Instagram
2023-06,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",103,Instagram
2023-07,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",69,Instagram
2018-07,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",443,Instagram
2018-08,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",749,Instagram
2018-09,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",220,Instagram
2018-10,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",279,Instagram
2018-11,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",200,Instagram
2018-12,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",309,Instagram
2019-01,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",409,Instagram
2019-02,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",227,Instagram
2019-03,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",1020,Instagram
2019-04,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",413,Instagram
2019-05,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",229,Instagram
2019-06,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",92,Instagram
2019-07,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",159,Instagram
2019-08,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",152,Instagram
2019-09,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",199,Instagram
