Date,Title,URL,Body,location,Likes,Comment
2019-08-30T21:23:35Z,PONDOK PESANTREN AL-AZIZIYAH KAPEK GUNUNG SARI BAGIAN II,https://www.youtube.com/watch?v=kNxx361HkzU,"Pondok pesantren al aziziyah kapek gunung sari bagian dua, ponpes ini terletak di dusun kapek gunung sari lombok barat yg ...",Lombok,442,64
2019-08-13T09:00:06Z,Sejarah Madrasah di Indonesia,https://www.youtube.com/watch?v=cxMvDGtajg8,Madrasah sebagai nama bagi suatu lembaga atau wadah yang mewadahi proses transformasi ilmu telah mengalami ...,,131,7
2019-08-28T04:37:54Z,PBAK IAIN SYEKH NURJATI CIREBON TAHUN 2019,https://www.youtube.com/watch?v=GdbG9e40Su0,Rangkaian kegiatan Pengenalan Budaya Akadimik dan Kemahasiswa IAIN Syekh Nurjati Cirebon tahun 2019.,Cirebon,401,12
2019-08-23T03:49:01Z,Sapa Santri: Pondok Pesantren Al-Inaroh Pertahankan Konsep Tradisional,https://www.youtube.com/watch?v=ZjB56OWuQUE,Ditengah-tengah masyarakat milenial seperti sekarang ini pondok pesantren yang didirikan oleh Kyai Haji Ahmad Munir Mu'in ...,Jember,2700,355
2019-09-10T01:00:00Z,Pilih Sekolah Umum Atau Pesantren ? - Ustadz Dr Syafiq Riza Basalamah MA,https://www.youtube.com/watch?v=7FBD6K2BW1M,"Bagi anak perempuan, pilih Sekolah khusus putri dan lingkungannya yang baik. - Ustadz Dr Syafiq Riza Basalamah MA Tanya...",Jember,677,22
2019-08-19T03:49:43Z,Ini Dia 5 Pesantren dengan Santri Terbanyak di Indonesia,https://www.youtube.com/watch?v=ZsHawI2yCzA,,Jawa Timur,136,39
2019-07-27T12:46:45Z,Kerinduan anak pesantren terhadap orang tua,https://www.youtube.com/watch?v=OKSoojFbsJ4,,,105000,1332
2019-07-14T23:58:37Z,Stand Up Comedy UIN Mataram,https://www.youtube.com/watch?v=W4b6Ydp6laY,"oleh Awin Azhari, Mahasiswa Komunukasi Penyiaran Islam Fakyltas Dakwah dan Ilmu Komunukasi Cobalah berfikiran Terbuka...",Nusa Tenggara Barat,122,12
2019-07-25T18:55:45Z,Kata hati orang tua untuk anak di pesantren;),https://www.youtube.com/watch?v=NVz8H_KUMe4,Jangan malu untuk hijrah.,,440,11
2019-07-24T19:36:00Z,Pondok Pesantren Raudlatut Thalibin || Tanggir - Singgahan - Tuban,https://www.youtube.com/watch?v=8eSU8kOh45I,Ponpes #Santri #Tanggir #Hasta #Nkri.,Tuban,200,16
2019-08-06T16:25:49Z,PESANTREN Matlabusalik,https://www.youtube.com/watch?v=Ny5h1LdNYG4,,Nganjuk,114,11
2019-07-07T00:59:01Z,Kisah Biru di Pesantren | Review buku Mairil : Sepenggal Kisah Biru di Pesantren,https://www.youtube.com/watch?v=33Gn0_AEWl8,"Assalamualaikum wankawan, santri       Ini review buku dengan ilustrasi... Review By Zamaahsari A. Ramzah ...",,903,817
2019-07-08T10:26:50Z,Profil IAIN Kediri 2018,https://www.youtube.com/watch?v=FJBoy0uEVcA,"Video ini dikemas langsung oleh staf KaKa Media IAIN Kediri, yang didedikasikan untuk mengembangkan sektor pengenalan ...",Kediri,153,4
2019-07-10T14:21:58Z,Madrasah ALAM SAYANG IBU Lombok,https://www.youtube.com/watch?v=YFCmaJsLqGA,Madrasah Alam Sayang Ibu ini awalnya sebuah lesehan yg dirubah menjadi sebuah lembaga pendidikan yg berbasis alam. ini ...,Lombok,60,4
2019-07-08T02:23:24Z,TERNYATA ADA PESANTREN ANAK-ANAK PAPUA DI BEKASI!,https://www.youtube.com/watch?v=R-sB1SgB7l4,"Nuu Waar AFKN, nama ini mungkin masih asing di telinga kita. Apalagi bagi kita yang tak pernah berinteraksi, mempelajari lebih ...",Bekasi,1400,150
2019-07-02T10:23:13Z,Sejarah pondok pesantren Al Azizyah Sebaneh,https://www.youtube.com/watch?v=VPDPGUFQcLE,Perintis pertama pondok pesantren Al Azizyah Sebaneh.,Jawa Timur,414,15
2019-05-28T05:00:00Z,AYO MONDOK! 10 Pondok Pesantren Ini Serasa Hotel yang Bikin Kamu Pengin Jadi SANTRI,https://www.youtube.com/watch?v=HFthk8AB9Xo,"Sahabat beriman, Belajar ilmu agama sekaligus ilmu-ilmu konvensional tentunya menjadi daya tarik pondok pesantren bagi para ...",,103000,5701
2019-05-28T04:30:39Z,Oki Setiana Dewi Grebek Pesantren Barunya Ustadz Fatih Karim,https://www.youtube.com/watch?v=kNwGYdJHof4,"Lokasi: Jl. Kucica IV Blok JF 9, Bintaro Sektor 9 No.5, Pd. Pucung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15229 ___ ...",Tangerang,1000,70
2019-06-03T09:57:49Z,Pesantren Al-Fatah: Tempat aman ekspresi iman para waria,https://www.youtube.com/watch?v=dg10kJszqWM,"Sempat ditutup oleh aparat setempat pada 2016, pondok pesantren waria Al Fatah kini kembali aktif, sebagai tempat aman agar ...",Yogyakarta,436,148
2019-05-26T05:58:15Z,MAAFKAN IBU - Lagu Pondok Pesantren Sedih - Senandung Ratapan Hati,https://www.youtube.com/watch?v=s3UgdeChrhQ,Maafkan Kami Ibu Lagu pondok pesantren sedih yang bikin merinding tentang kerinduan seorang santri kepada orang tuanya ...,Jawa Timur,21000,1108
2019-05-26T11:12:38Z,WOW...begini kegiatan santri 24 JAM Pondok Pesantren DAARUL AMANAH  Kota Tangerang,https://www.youtube.com/watch?v=KawIQaZeYXk,"Pondok Pesantren Terpadu DAARUL AMANAH Jl. Irigasi RT 004 RW 03 Kel. Kenanga, Blok Santri (C), Kec. Cipondoh, Kota ...",Tangerang,6600,
2019-04-21T07:30:52Z,Halal Living - Belajar Dengan Anak-Anak Asal Papua di Pondok Pesantren Nu Wuur,https://www.youtube.com/watch?v=dByKlr8AO7M,SUBSCRIBE Netmediatama Official Youtube Channel: http://www.youtube.com/netmediatama Homepage ...,Bekasi,2400,210
2019-04-27T02:26:18Z,mars IAIN METRO,https://www.youtube.com/watch?v=FhPTzcWn8bY,originial song : UKM IMPAS https://www.youtube.com/watch?v=xm46jKs-uP0.,Lampung,,112
2019-05-02T16:45:43Z,PROFIL PONDOK PESANTREN TAHFIZ AL MUQODDAM 2019,https://www.youtube.com/watch?v=sZML_lrZjbE,"PODOK PESANTREN TAHFIDZ AL MUQODDAM. Diprakarsai oleh keluarga Alm. Mu'allim H. Saadie dari Batujaya, Karawang, ...",Karawang,483,67
2019-05-07T19:00:01Z,"Ismail, Lukman Dan Sobri Kesal Melihat Anak Baru Pesantren Kun Anta - Kun Anta 3 Eps 2",https://www.youtube.com/watch?v=-5KEGV6wP2s,Subscribe MNCTV Official Youtube Channel http://bit.ly/24Ev2fo Follow our social media - Twitter http://bit.ly/2fOu5Ps - Facebook ...,,14000,666
2019-05-03T01:30:30Z,PROFIL YAYASAN DAN LEMBAGA PONDOK PESANTREN HASAN JUFRI BAWEAN,https://www.youtube.com/watch?v=aEuO3QIuAbo,Info seputar Pondok Pesantren Hasan Jufri: Website: https://www.hasanjufri.com/ Fanspage Facebook: ...,Gresil,254,12
2019-03-18T11:12:41Z,IAIN - Kampus Negeri Nomor 1 Di Kediri,https://www.youtube.com/watch?v=6RoSlN53CcQ,"IAIN - Kampus Negeri Nomor 1 Di Kediri IAIN - Institut Agama Islam Negeri Kediri is an Islamic higher education located in Kediri, ...",Kediri,93,
2019-03-19T01:35:38Z,Inilah Kampus [ IAIN Salatiga ],https://www.youtube.com/watch?v=i38-KCvTd24,IAIN Salatiga setelah berubah bentuk dari STAI menjadi IAIN mempunyai lima Fakultas dan Program Pascasarjana yang bisa ...,Salatiga,318,
2019-03-28T13:52:54Z,KOSEP PENGEMBANGAN PESANTREN,https://www.youtube.com/watch?v=zavTHEbQ_CI,Manajemen.,Ponorogo,84,2
2019-04-01T02:02:27Z,PESANTREN GRATIS...! PONPES DARUL INAYAH CISARUA KABUPATEN BANDUNG BARAT,https://www.youtube.com/watch?v=xK9CXzFSWL0,Assalamualaikum Wr Wb...?! Pondok Pesantren DARUL INAYAH merupakan salah satu PonPes Yatim Piatu dan Dhu'afa. Namun ...,Bandung,462,221
2019-03-21T04:51:26Z,Ilc 19 maret 2019 uin malang,https://www.youtube.com/watch?v=LqJfPRHTP2c,Uin malang.,Malang,12,0
2019-03-11T04:05:49Z,Pondok Pesantren Mahasiswa STAIMI,https://www.youtube.com/watch?v=joVmn3IOa3A,Jakarta - Sekolah Tinggi Agama Islam Minhajurrosyidin (STAIMI) telah meresmikan Pondok Pesantren Mahasiswa (PPM) di ...,Jakarta,933,46
2019-03-13T06:50:42Z,Edy Rahmayadi Kunjungi Pesantren Yang Berada Ditengah Hutan Padang Lawas Utara,https://www.youtube.com/watch?v=jz9MIqvfUFA,PALUTA – Gubernur Sumatera Utara (Gubsu) Edy Ramayadi bersama Ketua TP PKK Sumut Nawal Lubis Edy Rahmayadi ...,Sumatera Utara,5000,561
2019-02-18T03:26:06Z,10 PESANTREN Terbaik dan Terbesar di Indonesia🙏  ✔,https://www.youtube.com/watch?v=qKootXsKFvU,"Pesantrenterbaikindonesia #Pesantrenterbesarindonesia Selama ini, banyak orang salah kaprah menganggap bahwa pesantren ...",,74000,
2019-02-23T16:38:49Z,Mars Madrasah (Lirik dan Lagu),https://www.youtube.com/watch?v=aGIEBjNhx2U,Mars Madrasah (Lirik dan Lagu) Merupakan video yang berisikan Lirik dan Lagu Mars Madrasah sehingga memudahkan kita ...,Jakarta,18000,669
2019-03-10T00:56:44Z,Film Pendek dari pondok pesantren modern - santri untuk Ayah disana,https://www.youtube.com/watch?v=tmruOh_8XH0,Film Pendek dari pondok pesantren modern - santri untuk Ayah disana .... Masyaallah film pendek ini walaupun singkat tidak spai ...,Lampung,9400,319
2019-02-12T06:43:20Z,Hi today Raninagar high Madrasah Exgams Madhyamik,https://www.youtube.com/watch?v=aLjijVG0BdY,Hasanujjaman.,,224,4
2019-02-01T07:15:01Z,ISENG BANGET! Lagi Mandi Keran Air Di Matiin | KUN ANTA,https://www.youtube.com/watch?v=SXUntda0Upo,KunAnta #Sobri #MNCTV SOBRI DIISENGIN !!! Abisnya Mandi Lama Banget Sih... | KUN ANTA Subscribe MNCTV Official ...,,65000,1351
2019-01-22T02:01:36Z,Tarekat Idrisiyyah | PONDOK PESANTREN IDRISIYYAH,https://www.youtube.com/watch?v=vNRhOuB5mf4,"idrisiyyah.or.id | Pondok Pesantren Idrisiyyah membuka pendaftaran santri baru jenjang, Madrasah Tsanawiyah (MTs), Madrasah ...",Tasikmalaya,383,16
2019-01-26T17:40:17Z,Ceritaku Mondok di Pesantren Fadllul Wahid Ngangkruk,https://www.youtube.com/watch?v=_HlipeE980M,Jauh-jauh nyantri ke Fadllul Wahid.,Jawa Tengah,235,16
